Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2026,55-59,20256544,9906508,10350036,5.8,5.8,5.9,95.7
2026,60-64,20709676,9989430,10720246,6.0,5.8,6.1,93.2
2026,65-69,20216716,9592699,10624017,5.8,5.6,6.0,90.3
2026,70-74,17088736,7908176,9180560,4.9,4.6,5.2,86.1
2026,75-79,13633392,6134116,7499276,3.9,3.6,4.3,81.8
2026,80-84,8384473,3604403,4780070,2.4,2.1,2.7,75.4
2026,85-89,4659591,1853033,2806558,1.3,1.1,1.6,66.0
2026,90-94,2149541,764341,1385200,0.6,0.4,0.8,55.2
2026,95-99,740586,226941,513645,0.2,0.1,0.3,44.2
2026,100+,123654,31781,91873,0.0,0.0,0.1,34.6
2027,Total,348695115,171971097,176724018,100.0,100.0,100.0,97.3
2027,0-4,20931626,10694916,10236710,6.0,6.2,5.8,104.5
2027,5-9,20975552,10714205,10261347,6.0,6.2,5.8,104.4
2027,10-14,20603469,10533487,10069982,5.9,6.1,5.7,104.6
2027,15-19,21037767,10747316,10290451,6.0,6.2,5.8,104.4
2027,20-24,22091098,11273457,10817641,6.3,6.6,6.1,104.2
2027,25-29,22848186,11642429,11205757,6.6,6.8,6.3,103.9
2027,30-34,23641609,12079918,11561691,6.8,7.0,6.5,104.5
2027,35-39,24302890,12331429,11971461,7.0,7.2,6.8,103.0
2027,40-44,22399411,11247400,11152011,6.4,6.5,6.3,100.9
2027,45-49,21290300,10582960,10707340,6.1,6.2,6.1,98.8
2027,50-54,19351133,9534826,9816307,5.5,5.5,5.6,97.1
2027,55-59,20268710,9913933,10354777,5.8,5.8,5.9,95.7
2027,60-64,20305467,9801917,10503550,5.8,5.7,5.9,93.3
2027,65-69,20275255,9629347,10645908,5.8,5.6,6.0,90.5
2027,70-74,17560048,8135880,9424168,5.0,4.7,5.3,86.3
2027,75-79,13683705,6151950,7531755,3.9,3.6,4.3,81.7
2027,80-84,9162234,3954039,5208195,2.6,2.3,2.9,75.9
2027,85-89,4888503,1949946,2938557,1.4,1.1,1.7,66.4
2027,90-94,2201276,786905,1414371,0.6,0.5,0.8,55.6
2027,95-99,748850,231455,517395,0.2,0.1,0.3,44.7
2027,100+,128026,33382,94644,0.0,0.0,0.1,35.3
2028,Total,350872007,173059792,177812215,100.0,100.0,100.0,97.3
2028,0-4,20952020,10705178,10246842,6.0,6.2,5.8,104.5
2028,5-9,21051227,10752700,10298527,6.0,6.2,5.8,104.4
2028,10-14,20741328,10603544,10137784,5.9,6.1,5.7,104.6
2028,15-19,20917902,10688967,10228935,6.0,6.2,5.8,104.5
2028,20-24,22212633,11338206,10874427,6.3,6.6,6.1,104.3
2028,25-29,22860526,11642426,11218100,6.5,6.7,6.3,103.8
2028,30-34,23505866,11997212,11508654,6.7,6.9,6.5,104.2
2028,35-39,24579040,12498354,12080686,7.0,7.2,6.8,103.5
2028,40-44,22626535,11383500,11243035,6.4,6.6,6.3,101.2
2028,45-49,21670917,10781080,10889837,6.2,6.2,6.1,99.0
2028,50-54,19489589,9613686,9875903,5.6,5.6,5.6,97.3
2028,55-59,20127274,9838249,10289025,5.7,5.7,5.8,95.6
2028,60-64,19900031,9617975,10282056,5.7,5.6,5.8,93.5
2028,65-69,20306049,9650446,10655603,5.8,5.6,6.0,90.6
2028,70-74,17952910,8332014,9620896,5.1,4.8,5.4,86.6
2028,75-79,13962858,6274737,7688121,4.0,3.6,4.3,81.6
2028,80-84,9617723,4158008,5459715,2.7,2.4,3.1,76.2
2028,85-89,5226950,2093010,3133940,1.5,1.2,1.8,66.8
2028,90-94,2282220,820097,1462123,0.7,0.5,0.8,56.1
2028,95-99,756400,235566,520834,0.2,0.1,0.3,45.2
2028,100+,132009,34837,97172,0.0,0.0,0.1,35.9
2029,Total,353008224,174127772,178880452,100.0,100.0,100.0,97.3
2029,0-4,20966342,10712331,10254011,5.9,6.2,5.7,104.5
2029,5-9,21113369,10784256,10329113,6.0,6.2,5.8,104.4
2029,10-14,20878675,10670171,10208504,5.9,6.1,5.7,104.5
2029,15-19,20936195,10704384,10231811,5.9,6.1,5.7,104.6
2029,20-24,22175948,11321184,10854764,6.3,6.5,6.1,104.3
2029,25-29,22899976,11657550,11242426,6.5,6.7,6.3,103.7
2029,30-34,23422567,11944499,11478068,6.6,6.9,6.4,104.1
2029,35-39,24687418,12573944,12113474,7.0,7.2,6.8,103.8
2029,40-44,23034594,11609657,11424937,6.5,6.7,6.4,101.6
2029,45-49,21921232,10917172,11004060,6.2,6.3,6.2,99.2
2029,50-54,19769605,9758769,10010836,5.6,5.6,5.6,97.5
2029,55-59,19858167,9703907,10154260,5.6,5.6,5.7,95.6
2029,60-64,19585175,9477643,10107532,5.5,5.4,5.7,93.8
2029,65-69,20323661,9666707,10656954,5.8,5.6,6.0,90.7
2029,70-74,18248266,8483346,9764920,5.2,4.9,5.5,86.9
2029,75-79,14335750,6443657,7892093,4.1,3.7,4.4,81.6
2029,80-84,10109431,4372132,5737299,2.9,2.5,3.2,76.2
2029,85-89,5475665,2195949,3279716,1.6,1.3,1.8,67.0
2029,90-94,2368913,855539,1513374,0.7,0.5,0.8,56.5
2029,95-99,762452,238961,523491,0.2,0.1,0.3,45.6
2029,100+,134823,36014,98809,0.0,0.0,0.1,36.4
