Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2012,55-59,20769239,10065027,10704212,6.6,6.5,6.7,94.0
2012,60-64,17811521,8531975,9279546,5.7,5.5,5.8,91.9
2012,65-69,13981390,6607833,7373557,4.5,4.3,4.6,89.6
2012,70-74,10011650,4597214,5414436,3.2,3.0,3.4,84.9
2012,75-79,7490273,3292084,4198189,2.4,2.1,2.6,78.4
2012,80-84,5777568,2354623,3422945,1.8,1.5,2.1,68.8
2012,85-89,3747746,1350298,2397448,1.2,0.9,1.5,56.3
2012,90-94,1651317,505680,1145637,0.5,0.3,0.7,44.1
2012,95-99,414392,98648,315744,0.1,0.1,0.2,31.2
2012,100+,61803,11150,50653,0.0,0.0,0.0,22.0
2013,Total,316057727,155514347,160543380,100.0,100.0,100.0,96.9
2013,0-4,19849214,10141575,9707639,6.3,6.5,6.0,104.5
2013,5-9,20567352,10502386,10064966,6.5,6.8,6.3,104.3
2013,10-14,20651300,10544367,10106933,6.5,6.8,6.3,104.3
2013,15-19,21178925,10848726,10330199,6.7,7.0,6.4,105.0
2013,20-24,22814705,11681997,11132708,7.2,7.5,6.9,104.9
2013,25-29,21572894,10935984,10636910,6.8,7.0,6.6,102.8
2013,30-34,21271294,10668805,10602489,6.7,6.9,6.6,100.6
2013,35-39,19611120,9775821,9835299,6.2,6.3,6.1,99.4
2013,40-44,20850261,10352400,10497861,6.6,6.7,6.5,98.6
2013,45-49,21211724,10495800,10715924,6.7,6.7,6.7,97.9
2013,50-54,22552995,11064492,11488503,7.1,7.1,7.2,96.3
2013,55-59,21177266,10271078,10906188,6.7,6.6,6.8,94.2
2013,60-64,18110159,8664089,9446070,5.7,5.6,5.9,91.7
2013,65-69,14593975,6902761,7691214,4.6,4.4,4.8,89.7
2013,70-74,10600633,4877561,5723072,3.4,3.1,3.6,85.2
2013,75-79,7675857,3387998,4287859,2.4,2.2,2.7,79.0
2013,80-84,5758600,2364940,3393660,1.8,1.5,2.1,69.7
2013,85-89,3789687,1380132,2409555,1.2,0.9,1.5,57.3
2013,90-94,1714779,533409,1181370,0.5,0.3,0.7,45.2
2013,95-99,438848,107753,331095,0.1,0.1,0.2,32.5
2013,100+,66139,12273,53866,0.0,0.0,0.0,22.8
2014,Total,318386421,156697642,161688779,100.0,100.0,100.0,96.9
2014,0-4,19872353,10159552,9712801,6.2,6.5,6.0,104.6
2014,5-9,20515054,10474286,10040768,6.4,6.7,6.2,104.3
2014,10-14,20666075,10547126,10118949,6.5,6.7,6.3,104.2
2014,15-19,21054605,10775425,10279180,6.6,6.9,6.4,104.8
2014,20-24,22877086,11727928,11149158,7.2,7.5,6.9,105.2
2014,25-29,21955493,11147954,10807539,6.9,7.1,6.7,103.1
2014,30-34,21505310,10795770,10709540,6.8,6.9,6.6,100.8
2014,35-39,19881218,9918070,9963148,6.2,6.3,6.2,99.5
2014,40-44,20541648,10193532,10348116,6.5,6.5,6.4,98.5
2014,45-49,20832053,10317029,10515024,6.5,6.6,6.5,98.1
2014,50-54,22519029,11050057,11468972,7.1,7.1,7.1,96.3
2014,55-59,21464932,10419637,11045295,6.7,6.6,6.8,94.3
2014,60-64,18531780,8857517,9674263,5.8,5.7,6.0,91.6
2014,65-69,15299770,7235995,8063775,4.8,4.6,5.0,89.7
2014,70-74,11059539,5091975,5967564,3.5,3.2,3.7,85.3
2014,75-79,7911439,3506100,4405339,2.5,2.2,2.7,79.6
2014,80-84,5751393,2377508,3373885,1.8,1.5,2.1,70.5
2014,85-89,3818509,1407584,2410925,1.2,0.9,1.5,58.4
2014,90-94,1794440,564203,1230237,0.6,0.4,0.8,45.9
2014,95-99,462559,116691,345868,0.1,0.1,0.2,33.7
2014,100+,72136,13703,58433,0.0,0.0,0.0,23.5
2015,Total,320742673,157910775,162831898,100.0,100.0,100.0,97.0
2015,0-4,19918105,10186798,9731307,6.2,6.5,6.0,104.7
2015,5-9,20476743,10453553,10023190,6.4,6.6,6.2,104.3
2015,10-14,20604887,10512266,10092621,6.4,6.7,6.2,104.2
2015,15-19,21083170,10783603,10299567,6.6,6.8,6.3,104.7
2015,20-24,22672432,11638545,11033887,7.1,7.4,6.8,105.5
2015,25-29,22414862,11394287,11020575,7.0,7.2,6.8,103.4
2015,30-34,21637918,10874463,10763455,6.7,6.9,6.6,101.0
2015,35-39,20316918,10146891,10170027,6.3,6.4,6.2,99.8
2015,40-44,20147089,9997408,10149681,6.3,6.3,6.2,98.5
2015,45-49,20777178,10296415,10480763,6.5,6.5,6.4,98.2
2015,50-54,22264254,10928516,11335738,6.9,6.9,7.0,96.4
2015,55-59,21742613,10564552,11178061,6.8,6.7,6.9,94.5
2015,60-64,19018808,9089089,9929719,5.9,5.8,6.1,91.5
2015,65-69,16035020,7578733,8456287,5.0,4.8,5.2,89.6
2015,70-74,11463642,5285284,6178358,3.6,3.3,3.8,85.5
2015,75-79,8109550,3604180,4505370,2.5,2.3,2.8,80.0
2015,80-84,5789786,2408657,3381129,1.8,1.5,2.1,71.2
